model,cv_rmse_mean,cv_rmse_std,fold_scores
hist_gradient_boosting,1.226753779613619,0.009427989955096474,"[np.float64(1.2286077299932137), np.float64(1.2263898380942657), np.float64(1.2143456373582555), np.float64(1.2215521574290926), np.float64(1.2428735351932672)]"
gradient_boosting_tuned,1.2306879702924611,0.009598366469943519,"[np.float64(1.2332608533082297), np.float64(1.2301460826953032), np.float64(1.2171406408510108), np.float64(1.2263494369612469), np.float64(1.2465428376465153)]"
ridge,1.2524800472098483,0.011789028946218012,"[np.float64(1.2560207287435536), np.float64(1.250585409315132), np.float64(1.2384842214605993), np.float64(1.2443959368709496), np.float64(1.272913939659007)]"
elasticnet,1.2544710783895188,0.011441408084092884,"[np.float64(1.2581535441678222), np.float64(1.252012317774789), np.float64(1.2404028291806546), np.float64(1.2475795184112635), np.float64(1.2742071824130643)]"
extra_trees_tuned,1.2617813644867777,0.00901667536246962,"[np.float64(1.263306226067136), np.float64(1.259992461498294), np.float64(1.2504058317939577), np.float64(1.257505751358251), np.float64(1.277696551716249)]"
random_forest_tuned,1.2744611404118618,0.01118133429217403,"[np.float64(1.2758499174124585), np.float64(1.269826572653033), np.float64(1.2582985730743212), np.float64(1.275443722760439), np.float64(1.2928869161590564)]"
bagging_tree,1.2918486106807083,0.01087096935794132,"[np.float64(1.2930959585202664), np.float64(1.2879154360873415), np.float64(1.2753122627057774), np.float64(1.2938548532112686), np.float64(1.3090645428788876)]"
adaboost_tree,1.3929660524133995,0.005755032868772895,"[np.float64(1.395741702945463), np.float64(1.3922775152371312), np.float64(1.384139064313476), np.float64(1.3910070582516296), np.float64(1.4016649213192973)]"
