iter	Passed	Remaining
405	9244	81834
406	9269	81827
407	9292	81807
408	9314	81777
409	9338	81764
410	9362	81759
411	9400	81867
412	9433	81933
413	9464	81978
414	9491	81988
415	9519	82013
416	9548	82043
417	9577	82074
418	9604	82088
419	9631	82094
420	9660	82125
421	9683	82103
422	9707	82090
423	9731	82074
424	9751	82025
425	9770	81969
426	9790	81923
427	9809	81866
428	9829	81822
429	9850	81778
430	9877	81793
431	9900	81772
432	9924	81757
433	9948	81739
434	9970	81715
435	9995	81709
436	10021	81704
437	10061	81820
438	10084	81802
439	10108	81788
440	10134	81789
441	10157	81763
442	10180	81745
443	10208	81757
444	10230	81730
445	10253	81708
446	10279	81710
447	10305	81707
448	10331	81711
449	10356	81698
450	10380	81688
451	10407	81696
452	10432	81687
453	10456	81669
454	10482	81668
455	10505	81651
456	10527	81618
457	10553	81617
458	10577	81599
459	10600	81576
460	10621	81542
461	10644	81517
462	10670	81513
463	10693	81491
464	10716	81465
465	10744	81479
466	10778	81545
467	10818	81644
468	10847	81671
469	10876	81687
470	10900	81676
471	10923	81649
472	10947	81632
473	10969	81600
474	10993	81582
475	11017	81567
476	11044	81571
477	11072	81586
478	11098	81582
479	11121	81560
480	11150	81574
481	11175	81568
482	11202	81569
483	11226	81556
484	11251	81543
485	11280	81561
486	11303	81537
487	11328	81530
488	11352	81513
489	11374	81477
490	11397	81450
491	11422	81444
492	11446	81422
493	11471	81417
494	11494	81392
495	11519	81380
496	11542	81355
497	11563	81318
498	11585	81281
499	11609	81269
500	11634	81257
501	11659	81243
502	11684	81233
503	11718	81284
504	11771	81466
505	11795	81446
506	11827	81485
507	11853	81480
508	11879	81477
509	11907	81487
510	11932	81471
511	11958	81467
512	11982	81451
513	12009	81448
514	12036	81450
515	12062	81448
516	12091	81460
517	12118	81457
518	12139	81421
519	12161	81388
520	12183	81357
521	12207	81334
522	12230	81313
523	12254	81288
524	12276	81255
525	12298	81228
526	12320	81193
527	12341	81157
528	12377	81213
529	12399	81182
530	12423	81162
531	12445	81129
532	12469	81111
533	12494	81100
534	12516	81066
535	12537	81026
536	12562	81014
537	12584	80978
538	12605	80943
539	12629	80921
540	12650	80883
541	12670	80839
542	12694	80817
543	12715	80781
544	12735	80736
545	12760	80723
546	12781	80687
547	12804	80658
548	12828	80637
549	12849	80600
550	12870	80561
551	12895	80550
552	12917	80519
553	12940	80490
554	12963	80468
555	12985	80433
556	13007	80401
557	13031	80382
558	13053	80352
559	13074	80313
560	13110	80368
561	13132	80338
562	13156	80318
563	13177	80279
564	13196	80229
565	13219	80205
566	13243	80185
567	13267	80166
568	13296	80175
569	13319	80148
570	13343	80131
571	13374	80152
572	13415	80238
573	13438	80212
574	13462	80191
575	13489	80188
576	13514	80174
577	13537	80146
578	13581	80246
579	13604	80219
580	13630	80208
581	13655	80197
582	13680	80179
583	13703	80153
584	13727	80133
585	13751	80116
586	13775	80092
587	13798	80067
588	13823	80054
589	13845	80023
590	13866	79982
591	13891	79969
592	13912	79935
593	13933	79897
594	13957	79875
595	13980	79846
596	14001	79811
597	14026	79797
598	14050	79778
599	14072	79741
600	14097	79727
601	14120	79700
602	14142	79670
603	14165	79646
604	14186	79610
605	14207	79573
606	14232	79554
607	14252	79513
608	14272	79473
